epoch,train_sup,train_phys,train_freq,train_cons,train_total,val_MSE,val_PCC,val_R2,lr
28,0.13263891885677973,0.0,0.0,0.0,0.13263891885677973,0.8866692887855401,0.4066436299981226,0.04923643491584606,0.0009164606203550494
29,0.1280470664302508,0.0,0.0,0.0,0.1280470664302508,0.9062761000270455,0.23471722227685046,0.028212314658519144,0.0009105746045668516
30,0.1498211274544398,0.0,0.0,0.0,0.1498211274544398,1.0626482297702828,0.17931509043936353,-0.13946341905062698,0.0009045084971874733
31,0.1667019377152125,0.0,0.0,0.0,0.1667019377152125,5.389510944590007,0.09606316946121406,-4.779100172463338,0.0008982649590120977
32,0.12486933668454488,0.0,0.0,0.0,0.12486933668454488,8.012151325821968,0.08465237092760308,-7.591322215485821,0.0008918467286629196
33,0.15697051584720612,0.0,0.0,0.0,0.15697051584720612,5.29896446874717,0.09213724193900427,-4.682008402998698,0.0008852566213878943
34,0.15367055435975394,0.0,0.0,0.0,0.15367055435975394,16.212568293408516,0.07217355565276451,-16.384519149100335,0.000878497527825878
35,0.15200271954139075,0.0,0.0,0.0,0.15200271954139075,13.952129303439627,0.07889291271207287,-13.960680791394612,0.000871572412738697
36,0.16308505336443582,0.0,0.0,0.0,0.16308505336443582,0.8928112972786473,0.31463557440809037,0.042650441732658084,0.0008644843137107055
37,0.13696159422397614,0.0,0.0,0.0,0.13696159422397614,1.0090382135151628,0.0605819405257584,-0.08197811892395723,0.0008572363398164014
38,0.14035502324501672,0.0,0.0,0.0,0.14035502324501672,0.9444748294705508,0.21463815764760033,-0.012747669685966745,0.0008498316702566826
39,0.14035753160715103,0.0,0.0,0.0,0.14035753160715103,3.006214683983439,0.10243648115147784,-2.223523614162015,0.0008422735529643442
40,0.11928707609574,0.0,0.0,0.0,0.11928707609574,1.8654757170057297,0.11826041896229209,-1.0003245468303068,0.0008345653031794289
41,0.15094019720951715,0.0,0.0,0.0,0.15094019720951715,1.9903518215759477,0.09361165041011309,-1.1342275159267348,0.0008267103019950526
42,0.13344593346118927,0.0,0.0,0.0,0.13344593346118927,2.2647325700040093,0.14501631841830429,-1.42844230588888,0.0008187119948743447
43,0.14043127993742624,0.0,0.0,0.0,0.14043127993742624,0.8700629972557742,0.34410584739927663,0.06704313820123065,0.000810573890139155
44,0.15893025447924933,0.0,0.0,0.0,0.15893025447924933,2.4142100679625145,0.1325475914702479,-1.5887250185714685,0.0008022995574311873
45,0.16084538648525873,0.0,0.0,0.0,0.16084538648525873,0.8862931030687402,0.28071816016957035,0.04963981380554272,0.0007938926261462363
